,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
0,Afghanistan,AFG,2021-05-11,504502.0,448878.0,55624.0,12,40295077.0,1.1139772732038704
1,Afghanistan,AFG,2021-05-20,547901.0,470341.0,77560.0,10,40295077.0,1.1672418444565822
2,Afghanistan,AFG,2021-05-24,573277.0,476367.0,96910.0,10,40295077.0,1.182196524900548
3,Afghanistan,AFG,2021-05-26,590454.0,479372.0,111082.0,19,40295077.0,1.1896540115806205
4,Afghanistan,AFG,2021-05-27,593313.0,479574.0,113739.0,14,40295077.0,1.1901553135138567
5,Afghanistan,AFG,2021-05-30,600152.0,480226.0,119926.0,20,40295077.0,1.1917733771795498
6,Afghanistan,AFG,2021-06-02,626290.0,481690.0,144600.0,34,40295077.0,1.1954065753491425
7,Afghanistan,AFG,2021-06-03,630305.0,481800.0,148505.0,27,40295077.0,1.1956795615504097
8,Afghanistan,AFG,2021-06-08,641295.0,482952.0,158343.0,64,40295077.0,1.1985384715854992
9,Afghanistan,AFG,2021-06-14,662003.0,484737.0,177266.0,85,40295077.0,1.2029682931242445
10,Afghanistan,AFG,2021-06-22,765890.0,582128.0,183762.0,78,40295077.0,1.444662830648022
11,Afghanistan,AFG,2021-06-27,835694.0,649434.0,186260.0,56,40295077.0,1.6116956421252153
12,Afghanistan,AFG,2021-06-30,886854.0,699200.0,187654.0,77,40295077.0,1.7351995629639818
13,Afghanistan,AFG,2021-07-05,915671.0,726349.0,189322.0,84,40295077.0,1.80257503912947
14,Afghanistan,AFG,2021-07-07,934463.0,735213.0,199250.0,55,40295077.0,1.8245727635661297
15,Afghanistan,AFG,2021-07-11,962093.0,742934.0,219159.0,86,40295077.0,1.8437339132023496
16,Afghanistan,AFG,2021-08-20,1201286.0,770542.0,430744.0,7,40295077.0,1.9122484863349436
17,Afghanistan,AFG,2021-11-14,4018197.0,3530173.0,3188609.0,0,40295077.0,8.760804700782678
18,Afghanistan,AFG,2021-11-20,5116767.0,4285440.0,3454113.0,0,40295077.0,10.635145330532561
19,Afghanistan,AFG,2021-11-27,5228706.0,4397449.0,3566192.0,0,40295077.0,10.913117252512013
20,Albania,ALB,2021-02-02,550.0,549.0,1.0,13,2870177.0,0.019127740205569205
21,Albania,ALB,2021-02-09,1127.0,689.0,438.0,12,2870177.0,0.024005488163273556
22,Albania,ALB,2021-02-17,1701.0,1090.0,611.0,15,2870177.0,0.037976751956412445
23,Albania,ALB,2021-02-18,3049.0,2438.0,611.0,18,2870177.0,0.0849424965777372
24,Albania,ALB,2021-02-22,6728.0,6073.0,655.0,13,2870177.0,0.2115897381938466
25,Albania,ALB,2021-05-11,622507.0,440921.0,181586.0,4,2870177.0,15.362153623278285
26,Albania,ALB,2021-05-12,632676.0,444755.0,187921.0,4,2870177.0,15.495734235205703
27,Albania,ALB,2021-05-13,638338.0,445402.0,192936.0,3,2870177.0,15.518276398981664
28,Albania,ALB,2021-05-14,653330.0,448571.0,204759.0,3,2870177.0,15.628687708109986
29,Albania,ALB,2021-05-17,680083.0,456980.0,223103.0,3,2870177.0,15.921666155083816
30,Albania,ALB,2021-05-18,688947.0,460191.0,228756.0,3,2870177.0,16.03354078859945
31,Albania,ALB,2021-05-19,697811.0,463402.0,234409.0,1,2870177.0,16.145415422115082
32,Albania,ALB,2021-05-20,703743.0,466083.0,237660.0,2,2870177.0,16.23882429550512
33,Albania,ALB,2021-05-21,708846.0,469169.0,239677.0,2,2870177.0,16.34634379691566
34,Albania,ALB,2021-05-23,716616.0,472840.0,243776.0,1,2870177.0,16.47424531657804
35,Albania,ALB,2021-05-24,725135.0,475237.0,249898.0,2,2870177.0,16.557759329825302
36,Albania,ALB,2021-05-26,748986.0,479789.0,269197.0,2,2870177.0,16.716355820564377
37,Albania,ALB,2021-05-27,759043.0,481788.0,277255.0,0,2870177.0,16.786003093189024
38,Albania,ALB,2021-05-30,772204.0,485162.0,287042.0,1,2870177.0,16.9035568189697
39,Albania,ALB,2021-05-31,776461.0,486128.0,290333.0,1,2870177.0,16.93721327987786
40,Albania,ALB,2021-06-01,780342.0,487078.0,293264.0,1,2870177.0,16.970312283876567
41,Albania,ALB,2021-06-03,787321.0,490050.0,297271.0,0,2870177.0,17.073859904807264
42,Albania,ALB,2021-06-06,798624.0,492522.0,306102.0,0,2870177.0,17.159986997317585
43,Albania,ALB,2021-06-07,803682.0,493346.0,310336.0,0,2870177.0,17.18869602815436
44,Albania,ALB,2021-06-08,809992.0,494437.0,315555.0,1,2870177.0,17.226707621167613
45,Albania,ALB,2021-06-09,816556.0,496024.0,320532.0,0,2870177.0,17.282000378373876
46,Albania,ALB,2021-06-10,823053.0,498437.0,324616.0,0,2870177.0,17.366071848530595
47,Albania,ALB,2021-06-11,830281.0,501735.0,328546.0,0,2870177.0,17.480977653991374
48,Albania,ALB,2021-06-12,834868.0,503721.0,331147.0,1,2870177.0,17.550171992877097
49,Albania,ALB,2021-06-13,836430.0,504257.0,332173.0,0,2870177.0,17.568846799343735
50,Albania,ALB,2021-06-14,842535.0,507764.0,334771.0,0,2870177.0,17.69103438568423
51,Albania,ALB,2021-06-15,848430.0,507854.0,340576.0,0,2870177.0,17.694170080799896
52,Albania,ALB,2021-06-16,854227.0,509282.0,344945.0,1,2870177.0,17.743923109968478
53,Albania,ALB,2021-06-17,862628.0,511175.0,351453.0,0,2870177.0,17.80987723056801
54,Albania,ALB,2021-06-20,880912.0,515884.0,365028.0,0,2870177.0,17.97394376723108
55,Albania,ALB,2021-06-21,890052.0,519674.0,370378.0,0,2870177.0,18.105991372657503
56,Albania,ALB,2021-06-22,901429.0,525800.0,375629.0,1,2870177.0,18.31942768686391
57,Albania,ALB,2021-06-23,912874.0,532225.0,380649.0,0,2870177.0,18.5432814770657
58,Albania,ALB,2021-06-24,922886.0,537018.0,385868.0,0,2870177.0,18.710274662503394
59,Albania,ALB,2021-06-28,943439.0,547300.0,396139.0,0,2870177.0,19.068510408939936
60,Albania,ALB,2021-06-29,955498.0,556252.0,399246.0,0,2870177.0,19.38040754977829
61,Albania,ALB,2021-06-30,968034.0,564530.0,403504.0,0,2870177.0,19.66882181830598
62,Albania,ALB,2021-07-01,974486.0,567084.0,407402.0,0,2870177.0,19.757805877477242
63,Albania,ALB,2021-07-02,981499.0,569352.0,412147.0,0,2870177.0,19.83682539439205
64,Albania,ALB,2021-07-04,988550.0,571759.0,416791.0,0,2870177.0,19.92068781820773
65,Albania,ALB,2021-07-05,994081.0,574187.0,419894.0,0,2870177.0,20.005281904217057
66,Albania,ALB,2021-07-06,1000063.0,576905.0,423158.0,0,2870177.0,20.099979896710202
67,Albania,ALB,2021-07-07,1005663.0,579552.0,426111.0,0,2870177.0,20.192204174167657
68,Albania,ALB,2021-07-08,1011297.0,582106.0,429191.0,0,2870177.0,20.28118823333892
69,Albania,ALB,2021-07-09,1016554.0,584832.0,431722.0,0,2870177.0,20.37616495428679
70,Albania,ALB,2021-07-10,1021408.0,587238.0,434170.0,0,2870177.0,20.459992537045622
71,Albania,ALB,2021-07-11,1022802.0,587876.0,434926.0,0,2870177.0,20.48222113131002
72,Albania,ALB,2021-07-12,1029234.0,590476.0,438758.0,0,2870177.0,20.572807879095958
73,Albania,ALB,2021-07-13,1035667.0,592502.0,443165.0,0,2870177.0,20.64339586025531
74,Albania,ALB,2021-07-14,1043499.0,594669.0,448830.0,0,2870177.0,20.718896430429204
75,Albania,ALB,2021-07-15,1052108.0,596977.0,455131.0,0,2870177.0,20.799309589617643
76,Albania,ALB,2021-07-16,1060042.0,599387.0,460655.0,0,2870177.0,20.88327653660384
77,Albania,ALB,2021-07-17,1067135.0,601701.0,465434.0,0,2870177.0,20.963898742133324
78,Albania,ALB,2021-07-18,1069365.0,602460.0,466905.0,0,2870177.0,20.99034310427545
79,Albania,ALB,2021-07-20,1082424.0,609538.0,472886.0,0,2870177.0,21.236948104594248
80,Albania,ALB,2021-07-21,1095453.0,616592.0,478861.0,0,2870177.0,21.482716919548864
81,Albania,ALB,2021-07-22,1109785.0,624490.0,485295.0,0,2870177.0,21.757891586477072
82,Albania,ALB,2021-07-25,1138771.0,640047.0,498724.0,0,2870177.0,22.299913907748547
83,Albania,ALB,2021-07-29,1179769.0,660756.0,519013.0,1,2870177.0,23.02143735386354
84,Albania,ALB,2021-07-30,1190847.0,665632.0,525215.0,0,2870177.0,23.191322347019018
85,Albania,ALB,2021-07-31,1198933.0,670215.0,528718.0,0,2870177.0,23.35099891052015
86,Albania,ALB,2021-08-01,1203087.0,672765.0,530322.0,0,2870177.0,23.439843605464052
87,Albania,ALB,2021-08-02,1212761.0,677938.0,534823.0,0,2870177.0,23.62007639250123
88,Albania,ALB,2021-08-03,1221640.0,683052.0,538588.0,0,2870177.0,23.7982535571848
89,Albania,ALB,2021-08-04,1229405.0,687768.0,541637.0,0,2870177.0,23.962563981245754
90,Albania,ALB,2021-08-05,1238036.0,693000.0,545036.0,0,2870177.0,24.144852390636537
91,Albania,ALB,2021-08-08,1259952.0,706470.0,553482.0,1,2870177.0,24.614161426281374
92,Albania,ALB,2021-08-10,1280239.0,720232.0,560007.0,1,2870177.0,25.09364405052371
93,Albania,ALB,2021-08-13,1309995.0,742540.0,567455.0,0,2870177.0,25.87087834652706
94,Albania,ALB,2021-08-15,1321198.0,750965.0,570233.0,2,2870177.0,26.16441425041034
95,Albania,ALB,2021-08-16,1330754.0,757938.0,572816.0,1,2870177.0,26.40736093976086
96,Albania,ALB,2021-08-17,1340339.0,764997.0,575342.0,2,2870177.0,26.65330395999968
97,Albania,ALB,2021-08-19,1358228.0,776986.0,581242.0,3,2870177.0,27.071013390463378
98,Albania,ALB,2021-08-21,1373349.0,785724.0,587625.0,2,2870177.0,27.375454545137806
99,Albania,ALB,2021-08-22,1376763.0,787510.0,589253.0,2,2870177.0,27.43768067265538
100,Albania,ALB,2021-08-23,1386713.0,792663.0,594050.0,1,2870177.0,27.617216638555742
101,Albania,ALB,2021-08-24,1396390.0,797441.0,598949.0,0,2870177.0,27.783687208140822
102,Albania,ALB,2021-08-25,1405653.0,802394.0,603259.0,2,2870177.0,27.956254962673032
103,Albania,ALB,2021-08-26,1415907.0,807368.0,608539.0,3,2870177.0,28.129554379398904
104,Albania,ALB,2021-08-27,1427977.0,812555.0,615422.0,3,2870177.0,28.31027494123185
105,Albania,ALB,2021-08-29,1444764.0,818955.0,625809.0,3,2870177.0,28.533257705012616
106,Albania,ALB,2021-08-30,1458048.0,824170.0,633878.0,2,2870177.0,28.714953816437106
107,Albania,ALB,2021-08-31,1472316.0,830396.0,641920.0,3,2870177.0,28.931874236327587
108,Albania,ALB,2021-09-01,1485250.0,836613.0,648637.0,3,2870177.0,29.1484810867065
109,Albania,ALB,2021-09-02,1499898.0,844304.0,655594.0,3,2870177.0,29.416443654868672
110,Albania,ALB,2021-09-06,1539232.0,865281.0,673951.0,3,2870177.0,30.147304504216986
111,Albania,ALB,2021-09-07,1553626.0,872116.0,681510.0,4,2870177.0,30.385443127723484
112,Albania,ALB,2021-09-08,1567313.0,879459.0,687854.0,4,2870177.0,30.641281008105075
113,Albania,ALB,2021-09-09,1579402.0,885981.0,693421.0,5,2870177.0,30.868514380820418
114,Albania,ALB,2021-09-10,1589575.0,890978.0,698597.0,3,2870177.0,31.04261514185362
115,Albania,ALB,2021-09-11,1598196.0,895363.0,702833.0,4,2870177.0,31.19539317610029
116,Albania,ALB,2021-09-12,1601552.0,896926.0,704626.0,4,2870177.0,31.249849747942378
117,Albania,ALB,2021-09-13,1610157.0,900814.0,709343.0,4,2870177.0,31.38531177693919
118,Albania,ALB,2021-09-14,1618111.0,904594.0,713517.0,5,2870177.0,31.51701097179721
119,Albania,ALB,2021-09-15,1625636.0,908232.0,717404.0,5,2870177.0,31.64376273658384
120,Albania,ALB,2021-09-16,1632986.0,911372.0,721614.0,4,2870177.0,31.753163655063783
121,Albania,ALB,2021-09-17,1640239.0,914401.0,725838.0,6,2870177.0,31.8586972162344
122,Albania,ALB,2021-09-19,1649884.0,918307.0,731577.0,5,2870177.0,31.994786384254354
123,Albania,ALB,2021-09-20,1657595.0,921001.0,736594.0,6,2870177.0,32.08864819138332
124,Albania,ALB,2021-09-21,1665590.0,923771.0,741819.0,7,2870177.0,32.18515791883219
125,Albania,ALB,2021-09-22,1674093.0,926652.0,747441.0,7,2870177.0,32.28553500359037
126,Albania,ALB,2021-09-23,1683644.0,929624.0,754020.0,7,2870177.0,32.389082624521066
127,Albania,ALB,2021-09-24,1693555.0,932595.0,760960.0,8,2870177.0,32.49259540439492
128,Albania,ALB,2021-09-27,1715133.0,938985.0,776148.0,11,2870177.0,32.71522975760728
129,Albania,ALB,2021-09-28,1723996.0,941418.0,782578.0,13,2870177.0,32.79999804890082
130,Albania,ALB,2021-09-29,1732549.0,944011.0,788538.0,15,2870177.0,32.89034090928887
131,Albania,ALB,2021-09-30,1741373.0,946495.0,794878.0,17,2870177.0,32.97688609448129
132,Albania,ALB,2021-10-01,1749106.0,948553.0,800553.0,13,2870177.0,33.04858898945954
133,Albania,ALB,2021-10-02,1756040.0,950620.0,805420.0,7,2870177.0,33.12060545394935
134,Albania,ALB,2021-10-04,1764714.0,952949.0,811765.0,3,2870177.0,33.201750275331456
135,Albania,ALB,2021-10-05,1771542.0,955083.0,816459.0,5,2870177.0,33.2761010906296
136,Albania,ALB,2021-10-06,1778093.0,957147.0,820946.0,7,2870177.0,33.3480130319489
137,Albania,ALB,2021-10-07,1783984.0,958874.0,825110.0,9,2870177.0,33.40818353711287
138,Albania,ALB,2021-10-08,1789592.0,960652.0,828940.0,12,2870177.0,33.470130936175714
139,Albania,ALB,2021-10-09,1795351.0,962281.0,833070.0,7,2870177.0,33.52688701776928
140,Albania,ALB,2021-10-12,1810433.0,968117.0,842316.0,9,2870177.0,33.730219425491875
141,Albania,ALB,2021-10-13,1816580.0,970703.0,845877.0,6,2870177.0,33.820318398482044
142,Albania,ALB,2021-10-17,1836856.0,979655.0,857201.0,3,2870177.0,34.1322155393204
143,Albania,ALB,2021-10-18,1842661.0,982467.0,860194.0,10,2870177.0,34.230188591156576
144,Albania,ALB,2021-10-19,1848634.0,985320.0,863314.0,9,2870177.0,34.32959012632322
145,Albania,ALB,2021-10-20,1854615.0,988414.0,866201.0,12,2870177.0,34.437388356188485
146,Albania,ALB,2021-10-21,1860335.0,991371.0,868964.0,8,2870177.0,34.54041336126657
147,Albania,ALB,2021-10-22,1865942.0,994446.0,871496.0,6,2870177.0,34.647549611051865
148,Albania,ALB,2021-10-24,1873903.0,998130.0,875773.0,7,2870177.0,34.775904064453165
149,Albania,ALB,2021-10-25,1879391.0,1000993.0,878398.0,4,2870177.0,34.87565401018822
150,Albania,ALB,2021-10-27,1891041.0,1007734.0,883307.0,8,2870177.0,35.11051757435168
151,Albania,ALB,2021-10-28,1896652.0,1011039.0,885613.0,5,2870177.0,35.22566726721035
152,Albania,ALB,2021-10-29,1901824.0,1013959.0,887865.0,9,2870177.0,35.32740315318533
153,Albania,ALB,2021-11-01,1909861.0,1018154.0,891707.0,8,2870177.0,35.473561386632255
154,Albania,ALB,2021-11-03,1926604.0,1025180.0,898625.0,6,2870177.0,35.718354651995334
155,Albania,ALB,2021-11-06,1944676.0,1031588.0,904858.0,4,2870177.0,35.94161614423083
156,Albania,ALB,2021-11-07,1947148.0,1032457.0,905876.0,2,2870177.0,35.97189302262544
157,Albania,ALB,2021-11-09,1963359.0,1037546.0,910845.0,11,2870177.0,36.14919916088798
158,Albania,ALB,2021-11-10,1971973.0,1040015.0,913524.0,4,2870177.0,36.235221730227785
159,Albania,ALB,2021-11-11,1980231.0,1042227.0,916432.0,5,2870177.0,36.312290147959516
160,Albania,ALB,2021-11-14,2000104.0,1047822.0,924194.0,3,2870177.0,36.50722586098349
161,Albania,ALB,2021-11-16,2016954.0,1051540.0,930527.0,7,2870177.0,36.636764910317375
162,Albania,ALB,2021-11-17,2025561.0,1053553.0,933630.0,7,2870177.0,36.7068999577378
163,Albania,ALB,2021-11-18,2033766.0,1055690.0,936539.0,10,2870177.0,36.78135529620647
164,Albania,ALB,2021-11-21,2050342.0,1059927.0,942903.0,6,2870177.0,36.928976854040705
165,Albania,ALB,2021-11-24,2074670.0,1065961.0,951371.0,4,2870177.0,37.13920779101777
166,Albania,ALB,2021-11-25,2081782.0,1067769.0,953489.0,10,2870177.0,37.20220042178583
167,Albania,ALB,2021-11-28,2096897.0,1071871.0,959555.0,8,2870177.0,37.34511843694657
168,Albania,ALB,2021-11-30,2101039.0,1072645.0,961013.0,3,2870177.0,37.37208541494131
169,Albania,ALB,2021-12-01,2111797.0,1075332.0,965964.0,4,2870177.0,37.46570333467239
170,Albania,ALB,2021-12-03,2130714.0,1080490.0,971974.0,3,2870177.0,37.64541350585696
171,Albania,ALB,2021-12-05,2141863.0,1084071.0,975573.0,1,2870177.0,37.770179330403664
172,Albania,ALB,2021-12-06,2151065.0,1087187.0,978333.0,1,2870177.0,37.87874406351943
173,Albania,ALB,2021-12-07,2161198.0,1090591.0,981170.0,5,2870177.0,37.99734302100533
174,Albania,ALB,2021-12-08,2166207.0,1092316.0,982658.0,7,2870177.0,38.05744384405561
175,Albania,ALB,2021-12-12,2196145.0,1102621.0,992353.0,2,2870177.0,38.41648093479949
176,Albania,ALB,2021-12-13,2206089.0,1105501.0,995500.0,2,2870177.0,38.516823178500836
177,Albania,ALB,2021-12-14,2216402.0,1108572.0,998326.0,6,2870177.0,38.62382006405877
178,Albania,ALB,2021-12-15,2226267.0,1111494.0,1001189.0,4,2870177.0,38.72562563214743
179,Albania,ALB,2021-12-18,2251010.0,1119430.0,1008465.0,2,2870177.0,39.00212425923558
180,Albania,ALB,2021-12-21,2270522.0,1126181.0,1013806.0,6,2870177.0,39.237336233967454
181,Albania,ALB,2021-12-23,2286235.0,1131547.0,1018549.0,2,2870177.0,39.42429334497489
182,Algeria,DZA,2021-08-20,4146091.0,3421279.0,724812.0,31,44996174.0,7.603488687727094
183,Algeria,DZA,2021-09-04,8000000.0,5000000.0,3000000.0,34,44996174.0,11.112055882795724
184,Algeria,DZA,2021-09-25,10049978.0,6017036.0,4032942.0,10,44996174.0,13.37232805615873
185,Algeria,DZA,2021-10-24,11080739.0,6328806.0,4751933.0,3,44996174.0,14.065209188674574
186,Algeria,DZA,2021-10-27,11148720.0,6351998.0,4796722.0,5,44996174.0,14.116751348681333
187,Algeria,DZA,2021-10-30,11179354.0,6364327.0,4815027.0,6,44996174.0,14.14415145607713
188,Algeria,DZA,2021-11-02,11271319.0,6399209.0,4872110.0,4,44996174.0,14.22167360273787
189,Algeria,DZA,2021-11-08,11316115.0,6418827.0,4897288.0,4,44996174.0,14.265272865199604
190,Algeria,DZA,2021-11-13,11376816.0,6446373.0,4930443.0,5,44996174.0,14.326491403469104
191,Algeria,DZA,2021-11-21,12008974.0,6697263.0,5298544.0,0,44996174.0,14.884072143556025
192,Algeria,DZA,2021-11-22,12032500.0,6703364.0,5314016.0,6,44996174.0,14.897631074144217
193,Algeria,DZA,2021-11-25,12076870.0,6716299.0,5340231.0,5,44996174.0,14.926377962713008
194,Algeria,DZA,2021-11-29,12145830.0,6740064.0,5380385.0,6,44996174.0,14.979193564323937
195,Algeria,DZA,2021-11-30,12293060.0,6875003.0,5391232.0,6,44996174.0,15.27908350607765
196,Algeria,DZA,2021-12-14,12437324.0,7019879.0,5554702.0,6,44996174.0,15.601057547692832
197,Andorra,AND,2021-03-08,3611.0,2439.0,1172.0,0,77355.0,3.152995927865038
198,Andorra,AND,2021-03-10,4914.0,3650.0,1264.0,0,77355.0,4.71850559110594
199,Andorra,AND,2021-03-15,8363.0,7098.0,1265.0,1,77355.0,9.175877448128757
200,Andorra,AND,2021-04-05,15269.0,9781.0,4484.0,0,77355.0,12.644302242906083
201,Andorra,AND,2021-04-19,26414.0,21733.0,4681.0,0,77355.0,28.095145756576823
202,Andorra,AND,2021-04-26,28503.0,23822.0,4681.0,0,77355.0,30.795682244198826
203,Andorra,AND,2021-05-03,28881.0,24182.0,4699.0,2,77355.0,31.261069097020233
204,Andorra,AND,2021-05-10,31633.0,26931.0,4702.0,0,77355.0,34.81481481481482
205,Andorra,AND,2021-05-17,32317.0,27613.0,4704.0,0,77355.0,35.69646435265981
206,Andorra,AND,2021-05-31,35916.0,27613.0,8303.0,0,77355.0,35.69646435265981
207,Andorra,AND,2021-06-07,41473.0,30535.0,10938.0,0,77355.0,39.47385430806024
208,Andorra,AND,2021-06-14,51107.0,34646.0,16416.0,0,77355.0,44.788313619029154
209,Andorra,AND,2021-06-21,63265.0,38667.0,24598.0,0,77355.0,49.98642621679271
210,Andorra,AND,2021-06-28,68329.0,41716.0,26613.0,0,77355.0,53.92799431193846
211,Andorra,AND,2021-07-12,70018.0,43008.0,27010.0,0,77355.0,55.59821601706418
212,Andorra,AND,2021-07-19,82349.0,48445.0,33904.0,0,77355.0,62.62685023592528
213,Andorra,AND,2021-08-01,86320.0,50747.0,35573.0,0,77355.0,65.60274061146661
214,Andorra,AND,2021-08-15,91660.0,51044.0,40616.0,0,77355.0,65.98668476504427
215,Andorra,AND,2021-08-29,95918.0,52910.0,43008.0,0,77355.0,68.39893995216858
216,Andorra,AND,2021-09-26,102032.0,54312.0,47720.0,0,77355.0,70.21136319565639
217,Andorra,AND,2021-10-03,102692.0,54383.0,48309.0,0,77355.0,70.30314782496283
218,Andorra,AND,2021-10-31,104534.0,54999.0,49535.0,0,77355.0,71.09947643979058
219,Andorra,AND,2021-12-05,106428.0,56095.0,50333.0,0,77355.0,72.51632085838018
220,Andorra,AND,2021-12-12,115709.0,56628.0,50551.0,0,77355.0,73.20535194880745
221,Angola,AGO,2021-05-12,626572.0,586377.0,40195.0,3,34472807.0,1.7009841989368606
222,Angola,AGO,2021-05-18,681502.0,606287.0,75215.0,18,34472807.0,1.7587398670494108
223,Angola,AGO,2021-05-21,757535.0,630984.0,126551.0,8,34472807.0,1.8303818427086602
224,Angola,AGO,2021-05-26,859979.0,663049.0,196930.0,4,34472807.0,1.923397186657878
225,Angola,AGO,2021-05-31,909215.0,679034.0,230181.0,7,34472807.0,1.9697670688667739
226,Angola,AGO,2021-06-08,1115919.0,740289.0,375630.0,3,34472807.0,2.147457849893106
227,Angola,AGO,2021-06-10,1222630.0,774926.0,447704.0,8,34472807.0,2.247934147051036
228,Angola,AGO,2021-06-15,1314375.0,822109.0,492266.0,5,34472807.0,2.384804347380241
229,Angola,AGO,2021-06-20,1380174.0,866381.0,513793.0,3,34472807.0,2.5132302106991173
230,Angola,AGO,2021-06-24,1432699.0,909119.0,523580.0,3,34472807.0,2.6372061897947563
231,Angola,AGO,2021-06-28,1488292.0,943301.0,544991.0,2,34472807.0,2.736362606039015
232,Angola,AGO,2021-07-05,1513460.0,951772.0,561688.0,3,34472807.0,2.760935597730698
233,Angola,AGO,2021-07-12,1558201.0,958373.0,599828.0,6,34472807.0,2.780084023909048
234,Angola,AGO,2021-07-19,1592537.0,958373.0,634164.0,3,34472807.0,2.780084023909048
235,Angola,AGO,2021-08-03,1680059.0,969946.0,710113.0,2,34472807.0,2.813655412511084
236,Angola,AGO,2021-08-09,1695588.0,972978.0,722610.0,5,34472807.0,2.822450750819334
237,Angola,AGO,2021-08-16,1727488.0,1000191.0,727297.0,14,34472807.0,2.901391232805614
238,Angola,AGO,2021-08-20,1754073.0,1025762.0,728311.0,8,34472807.0,2.975568540153983
239,Angola,AGO,2021-08-25,1841568.0,1110558.0,731010.0,3,34472807.0,3.2215479290676847
240,Angola,AGO,2021-09-01,2086325.0,1165755.0,920570.0,7,34472807.0,3.381665438500555
241,Angola,AGO,2021-09-11,2469333.0,1510880.0,958453.0,9,34472807.0,4.382816867799597
242,Angola,AGO,2021-09-19,2820134.0,1836547.0,983587.0,10,34472807.0,5.327523807388241
243,Angola,AGO,2021-09-26,3134137.0,2127405.0,1006732.0,16,34472807.0,6.171255505825215
244,Angola,AGO,2021-10-08,4074677.0,2863708.0,1210969.0,5,34472807.0,8.307150618747118
245,Angola,AGO,2021-10-14,4448653.0,3158501.0,1290152.0,8,34472807.0,9.162297111459477
246,Angola,AGO,2021-10-18,5224697.0,3787300.0,1437397.0,2,34472807.0,10.986340624945337
247,Angola,AGO,2021-10-20,5661085.0,4126328.0,1534757.0,8,34472807.0,11.969805650001174
248,Angola,AGO,2021-10-26,6164219.0,4498272.0,1665947.0,4,34472807.0,13.04875463144037
249,Angola,AGO,2021-11-02,6647925.0,4846094.0,1801831.0,3,34472807.0,14.057729618594738
