콘텐츠아이디,콘텐츠분류,제목,언어,타이틀,연관콘텐츠,지번주소,도로명주소,위도,경도,탐나오연동여부,평점,소셜네트워크주소,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,웹사용여부,모바일사용여부,공개여부,작성상태,사용여부,작성상태_1,영문웹사용여부,중문웹사용여부,일문웹사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,일문모바일사용여부,영문승인일시,중문승인일시,일문승인일시,등록자,등록일시,수정자,수정일시,소셜네트워크공유수,인기점수,트립어드바이저코드,우편번호,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지검색어자동여부,영문페이지검색어자동여부,중문페이지검색어자동여부,일문페이지검색어자동여부,사진공유수,번체웹사용여부,말레이어웹사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체검색어자동여부,말레이어검색어자동여부
CNTS_000000000021903,숙박,해피펜션,국문,해피펜션,,제주특별자치도 제주시 외도2동 317-1,제주특별자치도 제주시 월대1길 4,33.49411,126.43378,y,,blog.naver.com/happycho25,979,,0,0,1,0,0,y,y,y,y,y,2019-11-20,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-04-25,anonymous,2023-03-14,0,1958,13355821,63068,n,2017-04-25,2017-04-25,2017-04-25,2017-04-25,y,n,n,n,,,,,,,,,,,,,,,
CONT_000000000501391,음식점,탐라 뚝배기,국문,탐라 뚝배기,,제주특별자치도 서귀포시 표선면 표선리 879,제주특별자치도 서귀포시 표선면 표선백사로 127,33.32677,126.83669,y,,,3120,,0,0,12,0,0,y,y,y,y,y,2019-09-11,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-11,2019-09-11,2019-09-11,anonymous,2016-05-30,anonymous,2023-03-13,1,6240,9260635,63629,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,,,2022-12-07,,y,
CONT_000000000501399,음식점,토담골,국문,토담골,,제주특별자치도 제주시 아라이동 2425,제주특별자치도 제주시 간월동로 5,33.4859043,126.5434964,y,,,1973,,0,0,4,0,0,y,y,y,y,y,2019-09-09,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-09,2019-09-09,2019-09-09,anonymous,2016-05-30,anonymous,2023-03-13,0,3946,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,,,2022-12-07,,y,
CNTS_000000000018301,음식점,우유부단,국문,우유부단,,제주특별자치도 제주시 한림읍 금악리 142-2,제주특별자치도 제주시 한림읍 금악동길 38,33.34764,126.32826,y,5,,21460,,14,38,253,0,1,y,y,y,y,y,2019-09-09,y,y,y,y,y,y,n,n,n,y,y,y,2018-12-05,2018-12-05,2018-12-05,anonymous,2016-10-06,anonymous,2023-03-15,5,43152,10716980,63021,n,2016-10-06,2016-10-06,2016-10-06,2016-10-06,y,n,n,n,51,y,,y,,n,,y,,,,2019-02-25,,n,
CNTS_000000000020277,관광지,공천포,국문,공천포,,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리,33.26769,126.645996,y,4,,4779,,0,9,26,0,0,y,y,y,y,y,2019-07-15,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-11-16,anonymous,2023-03-15,2,9603,,,n,2016-11-16,2016-11-16,2016-11-16,2016-11-16,y,n,n,n,18,,,,,,,,,,,,,,
CNTS_000000000022057,음식점,명당양과,국문,명당양과,,제주특별자치도 제주시 노형동 724-1,제주특별자치도 제주시 원노형로 83,33.4812749,126.4850048,y,5,https://www.facebook.com/mdang1980/,11864,,19,9,69,0,0,y,y,y,y,y,2018-11-02,y,y,y,y,y,y,y,y,y,y,y,y,2018-11-02,2018-11-06,2018-11-02,anonymous,2017-07-04,anonymous,2023-03-15,6,23830,9378615,,n,2017-07-04,2018-11-02,2018-11-02,2018-11-02,y,y,y,y,,y,,y,,y,,y,,,,2019-02-25,,y,
CNTS_200000000014588,테마여행,봄에도 즐기는 동백 <신흥2리 동백마을>,국문,봄에도 즐기는 동백 <신흥2리 동백마을>,,,,,,y,0,,1153,,0,0,0,0,0,y,y,y,y,y,2023-02-15,,,,m,m,m,,,,,,,,,,jto0900045,2023-02-15,jto0900045,2023-03-15,0,2306,,,n,2023-02-15,,,,y,n,n,n,0,,,m,m,,,,,,,,,n,n
CONT_000000000500553,관광지,제주민속촌,국문,제주민속촌,,제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 민속해안로 631-34,33.32226,126.84201,y,5,,56831,,7,36,654,0,3,y,y,y,y,y,2019-09-03,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-03,2019-09-03,2019-09-03,anonymous,2016-05-30,anonymous,2023-03-15,16,113863,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,69,y,y,y,y,y,y,y,y,,,2022-11-30,2022-11-30,y,y
CONT_000000000500556,관광지,제주빅볼랜드,국문,제주빅볼랜드,,제주특별자치도 제주시 애월읍 어음리 산 3,제주특별자치도 제주시 애월읍 산록서로 15,33.3659432,126.35644,y,5,,45057,,5,2,196,0,1,y,y,y,y,y,2019-07-22,y,y,y,y,y,y,y,y,y,y,y,y,2019-07-22,2019-07-22,2019-07-22,anonymous,2016-05-30,anonymous,2023-03-15,32,90139,,63041,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,,,2022-11-30,,y,
CONT_000000000500180,관광지,마오름(맞보기)(안덕),국문,마오름(맞보기)(안덕),,제주특별자치도 서귀포시 안덕면 산록남로,제주특별자치도 서귀포시 안덕면 산록남로,33.325733,126.40013,y,,,900,,0,0,0,0,0,y,y,n,y,y,2019-07-22,y,y,y,y,y,y,n,n,n,y,y,y,2019-07-22,2019-07-22,2019-07-22,anonymous,2016-05-30,anonymous,2022-10-06,0,1800,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-22,,2019-07-22,,y,
