"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부"
"3010000","3010000-214-2021-00001","2021-01-15","","01","영업/정상","01","영업","","","","","16447694","1350.84","100-281","서울특별시 중구 인현동1가 158","서울특별시 중구 충무로 24, 3~17층 (인현동1가)","04556","어반스테이 명동","2023-08-18 20:19:50","U","2022-12-07 22:00:00.0","숙박업(생활)","199345.466097151","451233.36978053","","","","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-201-2019-00008","2019-08-02","","01","영업/정상","01","영업","","","","","","610.66","100-042","서울특별시 중구 남산동2가 35-2","서울특별시 중구 퇴계로18길 43, 지층, 1~2층 (남산동2가)","04631","오요5(oYo5)","2023-02-28 11:15:55","U","2022-12-03 00:03:00.0","관광호텔","198591.133748202","450740.353160129","","","","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-214-2023-00002","2023-03-13","","01","영업/정상","01","영업","","","","","","2808.85","100-093","서울특별시 중구 남대문로3가 94","서울특별시 중구 남대문로 27 (남대문로3가)","04526","더스테이클래식호텔","2023-03-13 11:38:42","I","2022-12-02 23:05:00.0","숙박업(생활)","198037.338494145","451010.546629515","","","","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-201-2017-00010","2017-04-26","","01","영업/정상","01","영업","","","","","","178.54","100-042","서울특별시 중구 남산동2가 33-3 1~2층","서울특별시 중구 퇴계로18길 41 (남산동2가, 1~2층)","04631","오요5롯지A(oYo5LodgeA)","2023-02-28 10:57:31","U","2022-12-03 00:03:00.0","숙박업 기타","198602.1192505","450758.364666589","","","","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-201-2017-00011","2017-04-26","","01","영업/정상","01","영업","","","","","02752 6363","166.54","100-042","서울특별시 중구 남산동2가 33 1,2층","서울특별시 중구 퇴계로18길 37 (남산동2가, 1,2층)","04631","오요5롯지B(oYo5LodgeB)","2023-02-28 11:06:18","U","2022-12-03 00:03:00.0","관광호텔","198607.670947146","450770.829936259","","","","","","","","","","","","","","","","","","","","","",""
"3160000","3160000-201-1975-00179","1975-12-20","","01","영업/정상","01","영업","","","","","0208534496","85.49","152-846","서울특별시 구로구 구로동 141-6","서울특별시 구로구 도림로19길 8 (구로동)","08312","인구로스페이스","2023-02-28 16:28:12","U","2022-12-03 00:03:00.0","여인숙업","190320.661432241","443094.128608933","","","","","","","","","","","","","","","","","","","","","",""
"3120000","3120000-201-1990-01149","1990-12-24","","01","영업/정상","01","영업","","","","","02 3640535","1101.58","120-809","서울특별시 서대문구 대현동 104-40","서울특별시 서대문구 연세로2길 98 (대현동)","03780","타임모텔","2023-03-09 19:05:33","U","2022-12-02 23:01:00.0","여관업","194807.0991206","450526.660366465","","","","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-201-1986-00142","1986-07-15","","01","영업/정상","01","영업","","","","","02 8830337","2011.96","151-836","서울특별시 관악구 봉천동 866-4","서울특별시 관악구 남부순환로220길 34 (봉천동)","08787","베스테이린","2023-03-02 14:24:52","U","2022-12-03 00:04:00.0","일반호텔","195635.900770698","441952.941501023","","","","","","","","","","","","","","","","","","","","","",""
"3180000","3180000-201-2003-00215","2003-02-26","","01","영업/정상","01","영업","","","","","26320651","1685.42","150-033","서울특별시 영등포구 영등포동3가 17-9","서울특별시 영등포구 영중로8길 13 (영등포동3가)","07302","더문 호텔","2023-03-07 16:40:41","U","2022-12-03 00:09:00.0","일반호텔","191722.228677905","446262.797865221","","","","","","","","","","","","","","","","","","","","","",""
"3080000","3080000-201-1980-00267","1980-07-22","","03","폐업","02","폐업","2023-07-07","","","","0209895827","235.45","142-804","서울특별시 강북구 미아동 42-206","서울특별시 강북구 월계로3길 3-5 (미아동)","01220","유모텔","2023-07-07 16:54:48","U","2022-12-07 00:09:00.0","여관업","202661.728117053","456384.970016625","","","","","","","","","","","","","","","","","","","","","",""
