구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H117202307112815,남,62,J00110,대학_대학교,서울,강동구,서울,,561100,청소원,,신입,J03402,승인,,,,,,30:57.0,31:00.0
H117202307112803,남,66,J00104,중학교,경기,하남시,서울,강동구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,25:47.0,25:52.0
H117202307112802,남,63,J00106,고등학교,경기,고양시,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,20:50.0,20:56.0
H117202307112790,남,68,J00110,대학_대학교,서울,강동구,서울,송파구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,12:26.0,12:33.0
H117202307112771,남,68,J00106,고등학교,서울,강동구,서울,송파구,26301,총무 및 일반 사무원,,신입,J03402,승인,,,,,,07:38.0,07:42.0
H311202307112706,여,67,J00110,대학_대학교,서울,노원구,서울,,29901,도서 정리원,,신입,J03402,승인,,,,,,43:11.0,43:16.0
H116202307112652,남,69,J00102,초등학교,서울,성북구,서울,,561100,청소원,,신입,J03402,승인,,,,,,29:26.0,29:31.0
H316202307112619,여,61,J00106,고등학교,서울,강서구,서울,,890000,제조 단순 종사원,,신입,J03402,승인,,,,,,20:26.0,20:31.0
H117202307112609,남,62,J00104,중학교,서울,송파구,서울,강동구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,17:21.0,17:26.0
H321202307112608,남,54,J00110,대학_대학교,서울,관악구,서울,,550104,재가 요양보호사,6,6년0월,J03404,알선,봉천동,,,,,15:23.0,15:29.0
H309202307112596,여,63,J00106,고등학교,서울,성북구,서울,강북구,550104,재가 요양보호사,8,8년0월,J03402,승인,,,,,,12:43.0,12:47.0
H121202307112490,여,55,J00104,중학교,서울,동대문구,서울,중랑구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,1년0월,J03402,승인,,,,,,52:02.0,52:06.0
H114202307112449,남,71,J00104,중학교,서울,구로구,서울,영등포구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,43:05.0,43:09.0
H101202307112428,남,66,J00110,대학_대학교,서울,마포구,,,562900,기타 서비스 단순 종사원,1,1년0월,J03402,승인,영어,중국어,,무역사무,회계사무,36:21.0,36:26.0
H318202307112427,여,58,J00106,고등학교,서울,금천구,,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,1년0월,J03402,승인,,,,,,35:43.0,35:47.0
H315202307112396,남,70,J00106,고등학교,서울,양천구,서울,영등포구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,1년0월,J03404,알선,,,,,,30:38.0,30:41.0
