"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"2018","4","A","골목상권","1000159","자양로15길","6423","4133","2290","20","800","1191","1760","1817","835","10","310","702","1241","1269","601","10","490","489","519","548","234"
"2018","4","A","골목상권","1000934","일원로9길","8245","2229","6016","2","2348","2820","1690","986","399","0","351","727","537","385","229","2","1997","2093","1153","601","170"
"2018","4","A","골목상권","1000819","신림로48길","825","344","481","0","134","171","182","198","140","0","38","72","73","83","78","0","96","99","109","115","62"
"2018","4","A","골목상권","1000797","남부순환로161길","2836","1575","1261","2","306","675","737","662","454","2","109","364","437","354","309","0","197","311","300","308","145"
"2018","4","A","골목상권","1000692","대림로22길","2779","1349","1430","9","394","489","643","656","588","3","100","218","314","330","384","6","294","271","329","326","204"
"2018","4","A","골목상권","1000464","독막로32길","4166","2306","1860","18","525","1026","1205","801","591","8","224","544","696","428","406","10","301","482","509","373","185"
"2018","4","A","골목상권","1000496","와우산로3길","5442","3283","2159","34","1697","1796","1064","552","299","24","827","1202","697","328","205","10","870","594","367","224","94"
"2018","4","A","골목상권","1000504","월드컵로8길","20554","10893","9661","89","4207","6909","5197","2596","1556","26","1402","3400","3205","1784","1076","63","2805","3509","1992","812","480"
"2018","4","A","골목상권","1000343","인수봉로56길","1249","513","736","0","87","138","260","467","297","0","16","66","92","181","158","0","71","72","168","286","139"
"2018","4","A","골목상권","1000710","선유로55길","19438","12917","6521","31","3020","6384","5765","2947","1291","5","1393","4379","4059","2081","1000","26","1627","2005","1706","866","291"
"2018","4","A","골목상권","1000442","세무서길","1866","666","1200","2","273","395","464","431","301","1","63","115","139","183","165","1","210","280","325","248","136"
"2018","4","A","골목상권","1000298","정릉로27길","2107","1051","1056","10","218","337","552","620","370","5","71","140","239","338","258","5","147","197","313","282","112"
"2018","4","A","골목상권","1000292","인촌로24길","2079","1153","926","15","350","484","569","382","279","3","154","296","320","204","176","12","196","188","249","178","103"
"2018","4","A","골목상권","1000297","정릉로26길","1449","633","816","6","189","373","393","315","173","3","66","144","164","144","112","3","123","229","229","171","61"
"2018","4","A","골목상권","1000256","용마산로100길","1406","722","684","3","116","209","340","382","356","2","27","91","164","208","230","1","89","118","176","174","126"
"2018","4","A","골목상권","1000296","장위로50길","1686","1011","675","1","195","272","380","482","356","0","72","162","225","279","273","1","123","110","155","203","83"
"2018","4","A","골목상권","1000252","봉화산로56길","2774","1289","1485","2","287","512","681","816","476","1","80","255","318","377","258","1","207","257","363","439","218"
"2018","4","A","골목상권","1000474","만리재옛길","9393","4824","4569","20","1655","2751","2470","1530","967","6","583","1303","1447","946","539","14","1072","1448","1023","584","428"
"2018","4","A","골목상권","1000029","난계로21길","3323","1967","1356","5","560","856","793","667","442","1","258","528","507","402","271","4","302","328","286","265","171"
"2018","4","A","골목상권","1000047","퇴계로56길","43522","21590","21932","537","11694","12445","9321","6686","2839","213","5109","7253","5510","2414","1091","324","6585","5192","3811","4272","1748"
"2018","4","A","골목상권","1000130","광나루로37길","3178","1732","1446","5","355","672","780","854","512","2","127","302","421","518","362","3","228","370","359","336","150"
"2018","4","A","골목상권","1000048","퇴계로8길","68559","43394","25165","207","10467","24221","20297","10758","2609","65","4515","14507","14070","8336","1901","142","5952","9714","6227","2422","708"
"2018","4","A","골목상권","1000111","송정12라길","2163","1164","999","1","372","542","500","426","322","1","179","311","255","206","212","0","193","231","245","220","110"
"2018","4","A","골목상권","1000030","다산로33길","10247","5356","4891","27","2149","2800","2244","1894","1133","9","826","1535","1278","1066","642","18","1323","1265","966","828","491"
"2018","4","A","골목상권","1000125","한림말3길","1436","624","812","4","218","308","386","327","193","2","76","120","156","143","127","2","142","188","230","184","66"
"2018","4","A","골목상권","1000141","능동로4길","1499","855","644","8","161","269","307","314","440","4","57","130","147","157","360","4","104","139","160","157","80"
"2018","4","A","골목상권","1000821","신림로65길","3803","1833","1970","19","593","685","750","822","934","8","236","351","389","363","486","11","357","334","361","459","448"
"2018","4","A","골목상권","1000793","난우길","1732","784","948","4","199","322","438","469","300","0","63","145","220","210","146","4","136","177","218","259","154"
"2018","4","A","골목상권","1000809","법원단지길","1014","382","632","1","125","199","273","257","159","0","28","83","119","88","64","1","97","116","154","169","95"
"2018","4","A","골목상권","1000815","신림동길","2362","1231","1131","7","334","418","538","545","520","3","129","220","306","267","306","4","205","198","232","278","214"
"2018","4","A","골목상권","1000715","신길로39길","1786","943","843","3","149","328","439","444","423","1","51","167","227","211","286","2","98","161","212","233","137"
"2018","4","A","골목상권","1000701","도림로63길","2734","1696","1038","8","336","531","715","739","405","3","175","333","441","467","277","5","161","198","274","272","128"
"2018","4","A","골목상권","1000066","원효로41길","15772","10096","5676","94","5410","4239","3440","1858","731","56","2451","2901","2678","1507","503","38","2959","1338","762","351","228"
"2018","4","A","골목상권","1000444","신촌로37길","5662","3175","2487","4","945","2002","1320","898","493","0","475","1176","810","458","256","4","470","826","510","440","237"
"2018","4","A","골목상권","1000683","가마산로61길","1457","701","756","4","127","327","361","367","271","3","43","134","181","168","172","1","84","193","180","199","99"
"2018","4","A","골목상권","1000328","삼양로20길","638","245","393","2","73","141","188","166","68","1","19","47","60","71","47","1","54","94","128","95","21"
"2018","4","A","골목상권","1000333","삼양로77길","943","385","558","1","110","182","259","236","155","1","34","76","85","96","93","0","76","106","174","140","62"
"2018","4","A","골목상권","1000346","한천로109길","1630","803","827","3","201","278","416","426","306","2","70","124","203","215","189","1","131","154","213","211","117"
"2018","4","A","골목상권","1000349","한천로132길","5433","3015","2418","11","580","1219","1276","1468","879","6","221","674","679","920","515","5","359","545","597","548","364"
"2018","4","A","골목상권","1000295","장월로1길","3631","2144","1487","7","735","1068","750","656","415","2","352","680","447","376","287","5","383","388","303","280","128"
"2018","4","A","골목상권","1000506","효창원로93길","4594","2134","2460","11","940","1115","1225","932","371","3","341","479","563","528","220","8","599","636","662","404","151"
"2018","4","A","골목상권","1000223","겸재로36길","2377","1125","1252","5","344","505","566","566","391","2","89","218","276","287","253","3","255","287","290","279","138"
"2018","4","A","골목상권","1000050","녹사평대로11길","2681","1771","910","11","414","713","730","419","394","8","234","424","478","302","325","3","180","289","252","117","69"
"2018","4","A","골목상권","1000165","천호대로109길","5217","3130","2087","19","716","1271","1408","1099","704","10","334","754","880","671","481","9","382","517","528","428","223"
"2018","4","A","골목상권","1000254","사가정로54길","1483","669","814","3","214","299","339","379","249","0","44","103","154","189","179","3","170","196","185","190","70"
"2018","4","A","골목상권","1000052","녹사평대로32길","4251","2328","1923","10","868","1115","902","868","488","2","419","578","442","567","320","8","449","537","460","301","168"
"2018","4","A","골목상권","1000070","이태원로27길","6909","3636","3273","40","1927","2074","1266","1030","572","13","823","1116","666","653","365","27","1104","958","600","377","207"
"2018","4","A","골목상권","1000085","회나무로13길","5214","3342","1872","20","1192","1633","1273","768","328","4","605","1083","915","507","228","16","587","550","358","261","100"
"2018","4","A","골목상권","1000043","청구로1길","2590","1150","1440","6","463","671","617","557","276","3","130","284","303","283","147","3","333","387","314","274","129"
"2018","4","A","골목상권","1000037","동호로20길","16936","8229","8707","66","4911","4874","3376","2317","1392","19","1612","2402","2049","1318","829","47","3299","2472","1327","999","563"
"2018","4","A","골목상권","1000062","우사단로10길","7643","3687","3956","34","1850","2384","1683","981","711","15","559","1159","940","552","462","19","1291","1225","743","429","249"
"2018","4","A","골목상권","1000973","구천면로42길","2452","1107","1345","5","241","532","617","616","441","2","74","236","270","290","235","3","167","296","347","326","206"
"2018","4","A","골목상권","1000092","뚝섬로5길","45575","19952","25623","137","6736","11035","13589","12487","1591","97","4248","7844","4926","1862","975","40","2488","3191","8663","10625","616"
"2018","4","A","골목상권","1000155","아차산로78길","4627","2594","2033","14","699","1273","1104","935","602","6","231","669","704","565","419","8","468","604","400","370","183"
"2018","4","A","골목상권","1000972","구천면로41길","2294","1036","1258","2","239","505","618","596","334","1","82","206","298","258","191","1","157","299","320","338","143"
"2018","4","A","골목상권","1000193","왕산로43길","5807","3819","1988","18","1048","1479","1414","1157","691","10","626","1063","968","710","442","8","422","416","446","447","249"
"2018","4","A","골목상권","1000994","올림픽로71길","4800","2391","2409","13","914","1151","1022","782","918","1","281","606","538","367","598","12","633","545","484","415","320"
"2018","4","A","골목상권","1000796","남부순환로151길","3720","2045","1675","4","444","908","906","888","570","2","151","511","528","491","362","2","293","397","378","397","208"
"2018","4","A","골목상권","1000204","전농로3길","2142","1096","1046","5","250","412","576","480","419","5","96","210","299","225","261","0","154","202","277","255","158"
"2018","4","A","골목상권","1000162","자양로50길","2594","1197","1397","21","359","602","654","610","348","6","138","261","329","270","193","15","221","341","325","340","155"
"2018","4","A","골목상권","1000024","창신길","1921","867","1054","0","233","416","457","509","306","0","77","180","229","223","158","0","156","236","228","286","148"
"2018","4","A","골목상권","1000962","양재대로72길","12078","7591","4487","30","1287","2310","2594","2393","3464","18","598","1362","1693","1488","2432","12","689","948","901","905","1032"
"2018","4","A","골목상권","1000312","화랑로1길","4826","2962","1864","28","650","976","1141","1055","976","12","292","623","709","642","684","16","358","353","432","413","292"
"2018","4","A","골목상권","1000337","솔매로50길","2670","1121","1549","7","362","616","687","662","336","3","103","241","298","284","192","4","259","375","389","378","144"
"2018","4","A","골목상권","1000057","백범로79길","5822","3535","2287","11","698","1526","1527","1249","811","7","315","971","1002","764","476","4","383","555","525","485","335"
"2018","4","A","골목상권","1000068","원효로89길","24009","10247","13762","379","6498","7867","5537","2808","920","145","2623","3603","2299","1046","531","234","3875","4264","3238","1762","389"
"2018","4","A","골목상권","1000861","반포대로9길","3821","2226","1595","9","667","1037","1000","661","447","3","241","610","669","406","297","6","426","427","331","255","150"
"2018","4","A","골목상권","1000848","남부순환로317길","11925","7314","4611","41","2203","3895","2972","1757","1057","14","978","2435","2027","1115","745","27","1225","1460","945","642","312"
"2018","4","A","골목상권","1000086","효창원로39길","1380","704","676","2","143","340","406","306","183","1","47","173","230","148","105","1","96","167","176","158","78"
"2018","4","A","골목상권","1000826","인헌길","1169","553","616","1","120","304","353","254","137","0","30","162","173","109","79","1","90","142","180","145","58"
"2018","4","A","골목상권","1000145","뚝섬로24길","1847","1248","599","3","198","351","400","397","498","3","101","251","233","246","414","0","97","100","167","151","84"
"2018","4","A","골목상권","1000033","다산로39길","8779","4687","4092","23","2029","2377","1868","1608","874","11","859","1360","1035","903","519","12","1170","1017","833","705","355"
"2018","4","A","골목상권","1000239","망우로68길","3574","1731","1843","9","395","601","792","969","808","2","122","248","362","490","507","7","273","353","430","479","301"
"2018","4","A","골목상권","1000123","장터길","1393","550","843","6","228","318","312","312","217","2","71","124","130","110","113","4","157","194","182","202","104"
"2018","4","A","골목상권","1000142","동일로18길","7899","4996","2903","35","1203","1864","2055","1762","980","23","589","1246","1368","1080","690","12","614","618","687","682","290"
"2018","4","A","골목상권","1000015","이화장길","9945","6208","3737","32","1638","3190","2698","1704","683","12","700","1871","1944","1200","481","20","938","1319","754","504","202"
"2018","4","A","골목상권","1000088","고산자로6길","18732","7954","10778","21","2660","3885","5342","5481","1343","10","996","2143","2197","1616","992","11","1664","1742","3145","3865","351"
"2018","4","A","골목상권","1000102","사근동길","6837","3426","3411","3","1329","1534","1960","1462","549","3","353","745","999","893","433","0","976","789","961","569","116"
"2018","4","A","골목상권","1000112","송정4가길","11738","7450","4288","51","1881","3090","3009","2406","1301","38","925","1955","1979","1520","1033","13","956","1135","1030","886","268"
"2018","4","A","골목상권","1000791","난곡로34길","1101","466","635","1","148","220","336","297","99","0","33","97","148","128","60","1","115","123","188","169","39"
"2018","4","A","골목상권","1000799","남부순환로234길","3083","2018","1065","11","443","784","641","621","583","4","218","538","399","392","467","7","225","246","242","229","116"
"2018","4","A","골목상권","1000780","관악로10길","7007","4260","2747","15","887","1875","1639","1689","902","2","415","1152","997","1103","591","13","472","723","642","586","311"
"2018","4","A","골목상권","1000712","선유서로25길","5343","3634","1709","25","586","1301","1364","1118","949","10","331","914","911","776","692","15","255","387","453","342","257"
"2018","4","A","골목상권","1000492","양화로1길","8411","4360","4051","30","1722","2808","2079","985","787","8","548","1351","1260","619","574","22","1174","1457","819","366","213"
"2018","4","A","골목상권","1000459","대흥로21길","6774","3254","3520","47","1116","1854","1657","1309","791","13","378","818","820","730","495","34","738","1036","837","579","296"
"2018","4","A","골목상권","1000467","동교로19길","13036","7177","5859","44","2552","4008","3264","2090","1078","19","914","2066","2036","1364","778","25","1638","1942","1228","726","300"
"2018","4","A","골목상권","1000259","용마산로94길","1911","1133","778","0","205","241","409","574","482","0","77","101","231","355","369","0","128","140","178","219","113"
"2018","4","A","골목상권","1000347","한천로124나길","3125","2028","1097","3","279","554","735","1017","537","1","134","379","449","712","353","2","145","175","286","305","184"
"2018","4","A","골목상권","1000265","돌곶이로28길","3257","2065","1192","1","282","431","532","667","1344","0","96","230","292","376","1071","1","186","201","240","291","273"
"2018","4","A","골목상권","1000148","뚝섬로58길","4088","2716","1372","4","253","677","1196","1403","555","2","139","423","879","923","350","2","114","254","317","480","205"
