"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"2019","4","A","골목상권","1001010","풍성로37가길","93","3","1","","2","11","1","1","1","","","","1","1","9","","","","","14"
"2019","4","A","골목상권","1000001","계동길","204","6","4","","","3","1","1","1","2","","","","40","63","","","","","45"
"2019","4","A","골목상권","1000002","난계로27길","150","5","10","","2","9","","","","","","","1","4","33","","","","2","28"
"2019","4","A","골목상권","1000003","돈화문로11가길","308","4","13","","","9","1","2","","1","","","","35","50","","","","2","39"
"2019","4","A","골목상권","1000004","명륜길","68","3","","","","5","","","","2","7","","2","4","8","","","","","25"
"2019","4","A","골목상권","1000005","백석동길","36","3","1","","","","","","","","","","","4","2","","","","","12"
"2019","4","A","골목상권","1000006","북촌로11길","221","6","4","","","3","1","1","2","2","","","","42","68","","","","","42"
"2019","4","A","골목상권","1000007","북촌로5길","194","8","4","","","3","1","1","1","2","","","","37","42","","","","","43"
"2019","4","A","골목상권","1000008","북촌로5나길","137","8","3","","1","1","","","1","1","","","","21","27","","","","","37"
"2019","4","A","골목상권","1000009","삼청로5길","132","8","3","","1","1","","","","","","","","24","23","","","","","34"
"2019","4","A","골목상권","1000010","성균관로5길","168","7","8","12","1","7","","","","","19","","2","8","39","","","","","29"
"2019","4","A","골목상권","1000011","숭인동길","144","6","9","","3","7","","1","1","1","","","1","1","29","","","","1","22"
"2019","4","A","골목상권","1000012","옥인길","95","2","2","","","5","2","1","1","1","7","","","8","25","","","","","11"
"2019","4","A","골목상권","1000013","율곡로10길","157","2","5","","","5","1","2","","","","","","13","33","","","","2","21"
"2019","4","A","골목상권","1000014","율곡로16길","139","10","9","12","1","4","2","2","1","","21","","","3","4","","","","","27"
"2019","4","A","골목상권","1000015","이화장길","180","10","8","12","1","8","1","1","1","","23","","","18","14","","","","2","29"
"2019","4","A","골목상권","1000016","자하문로7길","195","7","4","","","10","3","1","1","1","7","","","17","41","","","","1","32"
"2019","4","A","골목상권","1000017","종로24길","176","2","9","","","13","","","","","","","","5","22","","","","2","20"
"2019","4","A","골목상권","1000018","종로58가길","147","4","6","","","11","1","","","1","","","1","4","13","","","","2","22"
"2019","4","A","골목상권","1000019","종로65길","147","5","9","","1","8","1","","1","1","","","2","2","25","","","","1","22"
"2019","4","A","골목상권","1000020","지봉로8길","178","8","5","","","12","2","1","","1","","","1","1","20","","","","2","31"
"2019","4","A","골목상권","1000021","창경궁로35길","119","4","4","","","7","3","1","1","1","7","","3","4","27","","","","","16"
"2019","4","A","골목상권","1000022","창신2길","115","2","3","","","10","1","","","","","","2","3","17","","","","2","11"
"2019","4","A","골목상권","1000023","창신5길","147","3","5","","","17","","1","","","","","1","2","13","","","","1","17"
"2019","4","A","골목상권","1000024","창신길","62","3","","","","7","","1","","","","","","2","5","","","","","2"
